shipment_id,shipment_date_key,product_id,origin_id,destination_id,equipment_id,carrier_id,weight,weight_uom,planned_delivery_date,actual_delivery_date,transit_time
1,20250723,6,105,600009,5,1,361.4,KG,2025-08-20,2025-08-17,28
2,20251126,7,202,204,5,5,13270.9,KG,2025-12-27,2025-12-25,31
3,20251119,4,104,600006,5,7,547.4,KG,2025-12-06,2025-12-12,17
4,20251014,3,104,101,6,7,8031.1,KG,2025-10-29,2025-10-26,15
5,20250213,9,300002,600004,7,2,17845.6,KG,2025-02-18,2025-02-15,5
6,20250314,6,102,600003,7,6,2876.1,KG,2025-03-16,2025-03-22,2
7,20250411,9,300002,102,7,2,3064.6,KG,2025-04-13,2025-04-11,2
8,20251103,3,105,600010,4,1,4180.9,KG,2025-11-23,2025-11-22,20
9,20250224,10,105,600002,5,5,1320.3,KG,2025-03-26,2025-03-25,30
10,20250429,9,205,203,5,7,22393.9,KG,2025-06-01,2025-06-02,33
11,20250512,10,300007,203,3,2,137.2,KG,2025-05-17,2025-05-15,5
12,20250916,7,300009,102,6,7,12854.0,KG,2025-10-18,2025-10-24,32
13,20250917,1,300001,104,5,5,19706.8,KG,2025-10-19,2025-10-16,32
14,20250801,12,101,102,7,2,1424.6,KG,2025-08-06,2025-08-05,5
15,20251119,9,300010,600008,1,4,12495.6,KG,2025-11-21,2025-11-19,2
16,20250128,5,300009,104,2,7,1984.6,KG,2025-02-02,2025-01-31,5
17,20251015,10,205,600003,8,1,3778.1,KG,2025-10-27,2025-10-24,12
18,20250715,12,300007,600008,2,3,664.1,KG,2025-07-19,2025-07-18,4
19,20250131,9,300001,202,8,8,23413.3,KG,2025-02-09,2025-02-08,9
20,20250422,11,201,600006,1,1,1525.5,KG,2025-04-28,2025-04-25,6
21,20250523,8,103,202,8,1,7078.9,KG,2025-05-29,2025-05-27,6
22,20250606,6,300006,101,2,3,623.2,KG,2025-06-11,2025-06-10,5
23,20250813,8,300009,203,6,7,2510.9,KG,2025-09-13,2025-09-11,31
24,20251001,4,300003,600006,4,5,3322.9,KG,2025-11-02,2025-10-30,32
25,20251116,6,104,600004,2,7,1383.7,KG,2025-11-19,2025-11-17,3
26,20250618,10,300005,104,7,6,278.7,LBS,2025-06-22,2025-06-21,4
27,20250630,7,300004,600006,7,6,6239.9,KG,2025-07-03,2025-07-03,3
28,20251001,6,203,600009,6,5,4872.1,KG,2025-10-17,2025-10-15,16
29,20250626,7,300001,600004,7,2,21474.1,KG,2025-06-30,2025-06-28,4
30,20250227,12,300002,101,7,6,442.2,LBS,2025-03-02,2025-02-27,3
31,20250907,8,203,101,4,1,4462.2,KG,2025-10-03,2025-10-01,26
32,20250119,7,203,600002,7,2,17794.3,KG,2025-01-22,2025-01-26,3
33,20250721,3,105,600005,6,1,6392.4,KG,2025-08-10,2025-08-07,20
34,20250814,1,300002,103,8,8,765.6,KG,2025-08-20,2025-08-19,6
35,20250320,2,300004,600007,4,5,1119.8,KG,2025-04-14,2025-04-15,25
36,20250402,1,104,600006,4,5,1236.3,KG,2025-04-24,2025-04-28,22
37,20250516,1,201,101,7,6,23802.2,KG,2025-05-20,2025-05-19,4
38,20250911,3,105,205,8,1,3355.9,KG,2025-09-18,2025-09-18,7
39,20251218,5,300010,202,8,8,2816.8,KG,2025-12-26,2025-12-25,8
40,20250615,8,300003,104,4,7,1992.2,KG,2025-07-09,2025-07-16,24
41,20251117,1,300009,600004,8,1,7076.7,KG,2025-11-22,2025-11-20,5
42,20250412,12,300008,204,1,2,2449.0,KG,2025-04-16,2025-04-16,4
43,20250616,11,300004,103,5,1,1225.7,KG,2025-07-06,2025-07-05,20
44,20251201,12,300009,600010,6,7,687.0,KG,2025-12-30,2025-12-27,29
45,20250408,2,300003,204,3,2,4463.1,KG,2025-04-11,2025-04-10,3
46,20251013,6,102,105,6,1,3251.0,KG,2025-11-15,2025-11-15,33
47,20250507,12,203,102,7,2,1884.9,KG,2025-05-11,2025-05-10,4
48,20251118,11,300004,204,4,7,261.6,KG,2025-12-21,2025-12-21,33
49,20250324,9,300010,600006,5,5,1023.0,KG,2025-04-17,2025-04-15,24
50,20250120,8,102,600007,7,2,874.4,KG,2025-01-25,2025-01-24,5
